"id","COMPANY_NAME","COMPANY_ADDRESS","COMPANY_DESCRIPTION","COMPANY_REPRESENTATIVE_DESIGNATION","MEMBER_NAME","MEMBER_ID","BUSINESS_TYPE_NAME","BUSINESS_TYPE_ID","COMPANY_CREATED_AT","COMPANY_UPDATED_AT"
26,Nova Technologies,"792, Ring Road, Kochi",,,Rajesh Joshi,26,Service Provider,1,"2025-10-16 06:49:42.862894","2025-10-16 06:49:42.862920"
27,Vision Networks,"9, Main Road, Bangalore",,,Deepak Reddy,27,Service Provider,1,"2025-10-16 06:51:01.224392","2025-10-16 06:51:01.224416"
28,BlueDot Technologies,"939, Ring Road, Ludhiana",,,Meena Sen,28,Service Provider,1,"2025-10-16 06:53:00.167481","2025-10-16 06:53:00.167504"
29,Vision Innovations,"94, MG Road, Chennai",,,Suresh Yadav,29,Service Provider,1,"2025-10-16 06:53:56.458985","2025-10-16 06:53:56.459006"
30,Alpha Consultancy,"919, MG Road, Jaipur",,,Arjun Ghosh,30,Service Provider,1,"2025-10-16 06:55:15.761054","2025-10-16 06:55:15.761070"
31,Alpha Enterprises,"79, Cross Lane, Jaipur",,,Pooja Reddy,31,Service Provider,1,"2025-10-16 06:56:35.805173","2025-10-16 06:56:35.805194"
32,Fusion Technologies,"850, Cross Lane, Chennai",,,Meena Iyer,32,Service Provider,1,"2025-10-16 06:57:40.484551","2025-10-16 06:57:40.484568"
33,Nova Innovations,"539, MG Road, Chennai",,,Arjun Iyer,33,Service Provider,1,"2025-10-16 06:58:55.264296","2025-10-16 06:58:55.264313"
34,Skyline Infotech,"126, MG Road, Delhi",,,Deepak Kumar,34,Service Provider,1,"2025-10-16 07:00:43.342394","2025-10-16 07:00:43.342421"
35,NextGen Global Services,"628, Cross Lane, Kolkata",,,Sameer Reddy,35,Service Provider,1,"2025-10-16 07:02:20.718339","2025-10-16 07:02:20.718361"
36,NextGen Softwares,"891, Park Street, Ludhiana",,,Arjun Desai,36,Service Provider,1,"2025-10-16 07:03:54.461893","2025-10-16 07:03:54.461919"
37,Alpha Consultancy,"191, MG Road, Kolkata",,,Vikram Chopra,37,Service Provider,1,"2025-10-16 07:05:14.031862","2025-10-16 07:05:14.031879"
38,Skyline Tech Solutions,"873, Main Road, Delhi",,,Meena Chopra,38,Service Provider,1,"2025-10-16 07:06:08.245450","2025-10-16 07:06:08.245473"
39,Alpha Networks,"465, MG Road, Ludhiana",,,Arjun Sen,39,Service Provider,1,"2025-10-16 07:06:56.895188","2025-10-16 07:06:56.895216"
40,Nova Softwares,"174, Cross Lane, Chennai",,,Deepak Gupta,40,Service Provider,1,"2025-10-16 08:44:08.334267","2025-10-16 08:44:08.334287"
41,VISH Labs,"172, Station Road, Ahmedabad",,,Vikas Sharma,41,Service Provider,1,"2025-10-16 08:54:09.158887","2025-10-16 08:54:09.158911"
43,Ajeet Management & Manpower Consultancy,Road Shivaji Chowk Office No-26 2nd Floor JK Plaza MTNL,"stablished in 2006, we, Ajeet Management & Manpower Consultancy are the service provider of Hospitality Recruitment Services, Oil and Gas Recruitment Service, Civil Recruitment Service, Engineer Recruitment Service, Factory Staff Recruitment Service, MEP Recruitment Service, Refinery, Petrochemical Recruitment Services, Cement Plant Recruitment Services, Marine Shipyard Recruitment Services, Contractual Recruitment Services, Retail Departmental Recruitment Services, Plastic and Fiber Plant Recruitment Services, Security Recruitment Services, Steel Plant Recruitment Services, Cruise Liner Recruitment Services, Aluminum Glass Recruitment Service, Facility Management Recruitment Services, Construction Recruitment Service, Catering Staff Services, Hotel Caterer Recruitment Service, Steel Sector Recruitment Service, IT Recruitment Services, Banking and Finance Recruitment Services, Media Recruitment Services, Agricultural Recruitment Service, Outsourcing Payroll Compliance Services, Placeme",,Satish kamble,43,Service Provider,1,"2025-10-16 09:36:08.076654","2025-10-16 13:20:15.646395"
44,TKV Global Trading And Services,"","Established in the year 2022, Thane, Maharashtra, we ""Tkv Global Trading And Services"" are a Proprietorship Firm.",,Neha K,44,Service Provider,1,"2025-10-16 09:45:48.047473","2025-10-16 13:44:25.214833"
46,Mithuna Foods,"","Mithuna Foods Company India, established in 1996 in Chennai, Tamil Nadu, is a leading Sole Proprietorship engaged in manufacturing, exporting, and providing services for a wide range of food products including Eatable Rice, Frozen Foods, Fruit Jam, Fresh Fruits, Vegetables, Fruit Puree, Frozen Snacks, Rolls, Cutlets, and Samosas. Known for quality, hygiene, freshness, rich aroma, and nutritional value, our products meet international standards and are free from contamination. Under the guidance of our mentor, Mr. K. P. Saravanan, we have emerged as one of the fastest-growing firms in the industry. Our team ensures transparency, ethical business practices, and rigorous quality testing from procurement to packaging. Supported by advanced warehousing and packaging facilities, Mithuna Foods consistently delivers safe, premium, and world-class food products to customers across the globe.",,Neha Menon,46,Service Provider,1,"2025-10-16 10:21:24.401086","2025-10-16 17:01:39.815243"
47,Aaradhya Enterprises,"","Since its inception in 2018, the manufacturing company “Aaradhya Enterprises” has developed into a trustful entity and pioneered the industry by manufacturing, supplying and exporting an optimum quality Wedding Gifts, Wooden Dry Fruit Box, Resin Statue, Gold Plated Gifts, Brass Handicrafts and many more. All our gifts are designed in compliance with industry quality norms using high-grade raw material. These are widely appreciated by the clients due to their attractive features like durability, fine finishing, and crack resistance.  Our experienced and talented staff members are the most essential assets of our firm. They are highly knowledgeable and appointed on the basis of their experience. Along with this, we are supported by an ultra-modern infrastructure. Further, to provide complete value for money, we assure that our gold and silver plated gifts are suitably delivered to meet time schedules. Under the respected guidance of ""Mr. Karan Singh Bhati "", we are where our clients want",,Nisha Deshmukh,47,Service Provider,1,"2025-10-16 10:27:18.990219","2025-10-16 17:18:50.318115"
48,Apna Medex,"","We""Apna Medex”, established in the year 2021 is engaged in Exporter and Wholesale Trader, Service Provider of Pharmaceutical Medicines. Offered product range includes Painkiller Medicines, ED Medicines, Erectile Dysfunction Medicine, Anti Cancer Medicines, Eye Drops, Drop Shipping Services, etc. The primary mission of our company is to produce medicines that can be made available to the common man at affordable rates. Our drugs are used for curing harmful diseases like cancer and HIV. We have grown by leaps and bounds under the able guidance of our owner, ""Mr. Dhanrajani Tarun G"". He is a well known figure in industrial world and is held in high esteem by people within and outside the organization. Owing to his vast industry experience and deep market knowledge, our industry experts are able to achieve the highest level of client satisfaction.",,Arjun Kumar,48,Service Provider,1,"2025-10-16 10:45:39.982910","2025-10-16 17:37:01.455102"
49,Xcrino Business Solutions,"","Incepted in the year 2019, ""Xcrino Business Solutions"" is a leading IT / Technology Services of Android application development, E commerce website, E commerce mobile application development, MLM software development, School management software, Inventory management software, IOS application development, E commerce IOS application development, Website designing, Website designing & development, Digital marketing, SEO, Multi Level Marketing Software, Management Software,Android application like tik tok, Android application like Ola and Uber, Video maker application, Development Services, . Immensely acclaimed in the industry owing to their preciseness, these are presented by us in standard forms to our clients. These are inspected sternly to retain their optimum quality.  Under the administration of our guide Dr. Sunil Gupta ( CEO ), we have garnered a reputed position in this highly competitive industry",,Rohan Sharma,49,Service Provider,1,"2025-10-16 10:51:03.192668","2025-10-16 17:50:12.849314"
50,R.S. International,"","Established in 2015, We M/S R.S. International has made a well-recognized name as a Manufacturer, Wholesaler and Trader of Footwear Adhesive, Shoe Insoles and More. We have achieved expertise in catering to the requirements of our clients exactly as per their specifications. We emphasize on stringent quality standards in order to ensure that the products provided to our clients is always optimum to its level.",,Akash Joshi,50,Service Provider,1,"2025-10-16 11:03:44.064945","2025-10-16 18:06:19.492210"
51,Garima Global Private Limited,"","Founded in 1990, Garima Global Private Limited is an ISO 9001:2008 certified company and a leading manufacturer and exporter of high-quality auto components such as Cylinder Liners, Cylinder Blocks, Connecting Rods, Engine Valves, Valve Guides, Compressor Parts, Pistons, and Piston Rings. Recognized as an “Export House” by the Government of India, we ensure durability, precision, and reliability in every product. Our state-of-the-art infrastructure, equipped with advanced technology and machinery, supports efficient production and global distribution. Guided by our visionary Director, Mr. Dushyant Sharma, and backed by skilled professionals, we maintain strict quality control at every stage. With customer-centric policies and convenient payment options, Garima Global continues to strengthen its presence in both domestic and international markets through innovation, excellence, and integrity.",,Vihaan Kapoor,51,Service Provider,1,"2025-10-16 11:09:08.940625","2025-10-16 18:18:45.019053"
53,Sandex Corp,"","Sandex Corp is a Sedex Certified home textiles manufacturer and exporter with over a decade of experience supplying to Europe, the USA, Australia, and Latin America. Renowned for quality, commitment, and ethical business practices, we produce a wide range of products including cotton terry towels, bathrobes, beachwear, bags, kitchen linens, and aprons. Our strength lies in sourcing cost-effective raw materials, maintaining superior manufacturing standards, and ensuring timely global deliveries. Promoted by seasoned professionals from the home textile industry, Sandex Corp focuses on delivering premium quality at competitive prices while fostering long-term relationships built on trust, transparency, and integrity. Through continuous improvement and customer-centric values, we strive to remain a reliable global partner in home furnishings.",,Anita Banerjee,53,Service Provider,1,"2025-10-16 11:25:06.305823","2025-10-16 18:44:02.495104"
54,Livealth Biopharma Private Limited,"","Established in the year 2016, Livealth Biopharma Private Limited is a vertically integrated pharmaceutical company manufacturing and exporting of advanced, high-quality, affordable generics drugs and APIs.We are committed to providing safe, effective and affordable medicines to the people. We are focused on continually improving the way we do business. We have our own brand named Livealth. We approach our business seriously and provide value and quality to our customers every day. Our company devotes extensive effort in providing medicines in Global market. Our goal is to improve lives to create the promise of a healthier world.We are addressed as reputed Manufacturer and Exporter of wide range of safe and reliable pharmaceutical formulations like Contrast Media, Anti Infective Medicines, Anti Malaria Tablets, Antidotes Medicine, Active Pharma Ingredient and many more.",,Rahul Shetty,54,Service Provider,1,"2025-10-16 18:53:26.335293","2025-10-16 19:08:19.760140"
61,Frankel Healthcare Private Limited,"","",,Pooja More,61,Service Provider,1,"2025-10-17 03:45:52.596676","2025-10-17 07:16:54.610888"
63,Enrich Global Export,,,"",Anita Sharma,63,Service Provider,1,"2025-10-17 03:52:02.901282","2025-10-17 03:52:02.901309"
67,Priority Networks,"Second floor, plot no.170, Pramukh Darshan Apartment, Katargam Vasta Devdi Road, Opp Community Hall, Surat - 395004, Gujrat, India","Priority Networks is an innovative technology solutions company focused on building and managing advanced networking and IT infrastructure. Our expertise spans network design, implementation, cybersecurity, cloud integration, and managed IT services.
We are committed to providing seamless connectivity, enhanced performance, and reliable support—ensuring that our clients’ networks always remain their top priority.
With a team of skilled professionals and a customer-first approach, Priority Networks helps businesses stay connected, secure, and competitive in a rapidly evolving digital landscape.",,Samir Jain,67,Service Provider,1,"2025-10-17 07:12:54.594435","2025-10-17 07:30:16.499148"
69,NextGen Tutorial,"","NextGen Tutorial is a leading educational institute dedicated to empowering students with the knowledge, skills, and confidence to excel academically and professionally. We provide result-oriented coaching and personalized learning experiences designed to meet the diverse needs of learners across various subjects and competitive exams.

Our team of experienced educators focuses on concept clarity, practical learning, and continuous assessment to ensure every student reaches their full potential. At NextGen Tutorial, we believe in nurturing curiosity, building strong fundamentals, and preparing students for the challenges of tomorrow’s world.",,Raj Sharma,69,Service Provider,1,"2025-10-17 07:21:29.395223","2025-10-17 07:25:42.072512"
72,Saarthi Travels,"","Saarthi Travels is a premier travel & tourism company committed to transforming journeys into unforgettable experiences. Whether planning a leisure getaway, business trip, pilgrimage, or adventure escape, we provide end-to-end travel solutions tailored to individual needs.
Our Mission
To deliver seamless, memorable travel experiences that combine exceptional service, reliability, and local insight — enabling every traveler to explore the world with confidence, comfort, and joy.",Ceo,Vandana Yadav,72,Service Provider,1,"2025-10-17 09:05:54.181683","2025-10-17 09:14:09.262792"
73,FutureLearn Hub,"","FutureLearnHub – Company Description

FutureLearnHub is an innovative online learning platform dedicated to empowering individuals and organizations through accessible, high-quality education. We combine state-of-the-art digital tools with expert instruction to bridge the gap between ambition and achievement in today’s fast-changing world.

What We Do

Offers a diverse catalog of courses across disciplines — from technology, business, and creative skills to personal development and wellness.

Hosts both short courses and longer programs/micro-credentials, enabling learners to tailor learning paths to their goals.",CEO,Ankit More,73,Service Provider,1,"2025-10-17 09:19:48.676448","2025-10-17 09:31:14.289824"
2,Pooja Art and Crafts serivce,,,Hah,Pooja,2,Importer,2,"2025-07-09 06:56:47.553869","2025-07-09 06:56:47.553885"
42,Global Trade Connect,"547, Park Street, mumbai",,,Manish Banerjee,42,Importer,2,"2025-10-16 08:58:19.632914","2025-10-16 08:58:19.632948"
45,Raj Biosis Private Limited,"","Incepted in 2009 in Jaipur (Rajasthan, India), Raj Biosis Pvt. Ltd. is a leading manufacturer, exporter, importer, wholesaler, and supplier of Clinical Chemistry Instruments, Hematology Instruments, Point of Care Devices, Reagents, and Blood Collection Consumables. A Private Limited Company and ISO 9001:2008 certified, we ensure high-quality products made with premium components using advanced technology. Widely used in hospitals, pharmaceutical labs, and clinics, our products are known for accuracy, reliability, durability, and easy installation. With a strong quality assurance system and ethical business practices, we have built a vast client base nationwide. Guided by Mr. Raj Bhupender (CEO), our company continues to grow through innovation, integrity, and an efficient distribution network ensuring safe and timely delivery to our valued clients.",,Vikas Sharma,45,Importer,2,"2025-10-16 10:17:01.677949","2025-10-16 16:43:21.634903"
60,Daksh Enterprises,"","Established in the year of 2017. We ”Daksh Enterprises” are a leading wholesale and  Service provider  of a wide range of Laser Marking Machine, CNC Routers, Fiber Laser Cutting Machine, CO2 Laser Cutting Machine etc.We direct all our activities to cater the expectations of customers by providing them excellent quality products as per their gratification. Moreover, we follow moral business policies and crystal pure transparency in all our transactions to keep healthy relations with the customers.For our accomplishment story, we are grateful to Our CEO Surender Singh whose continual backing and direction have been useful to us for attaining exponential development in the current market",,Vikas more,60,Importer,2,"2025-10-17 03:41:59.863930","2025-10-17 07:04:38.685768"
52,International Shipping & Cargo Agency,"","ChatGPT said:

Established in 2007, International Shipping & Cargo Agency is a trusted service provider offering comprehensive Cargo, Freight, and Shipment Services. Guided by a client-centric approach, we ensure complete satisfaction through reliable, timely, and efficient logistics solutions. Our skilled professionals execute each service in compliance with strict quality standards, monitored by our dedicated quality supervisors. We maintain transparent business practices and ethical policies to build long-term customer relationships. Under the able leadership of Mr. Arif Khan, our operations are strategically aligned to meet diverse client needs with customized and cost-effective transportation solutions. Through expertise, integrity, and commitment, we continue to deliver excellence across all facets of shipping and cargo management.",,Vikas Reddy,52,Exporter,3,"2025-10-16 11:18:15.316317","2025-10-16 18:37:39.763606"
56,Refratex India Private Limited,"","Giving new dimensions to home furnishings and apparels, we are Refratex India, recognized as a manufacturer and exporter of a wide collection of home furnishing accessories and garment accessories like decorative tassels, decorative fringes, tiebacks and fancy buttons.. Incepted in the year 1996, we have progressed at a fast pace and have established ourselves on the global arena. A perfect blend of our artists' mastery in making these products and various traditional techniques of production, our extensive collection is available in different eye catching & soothing colors and designs.    Our well laid manufacturing set up supported by our experienced team of artisans have helped us in designing and manufacturing a large collection that meet the needs of a large number of clients. To support our production processes, we have a well equipped manufacturing unit fitted with latest machines and sophisticated technology. The production is supported with efficient distribution across the gl",,Karan Nair,56,Exporter,3,"2025-10-16 19:00:12.263560","2025-10-16 19:29:53.386776"
62,Rebel Mass Exports Private Limited,,,"",Sneha Verma,62,Exporter,3,"2025-10-17 03:48:44.172546","2025-10-17 03:48:44.172560"
71,Kumar Agro,"7th Floor, F-7,Plot No.16, A- Block, Tagor Nagar,Nr.200 FT, Jaipur - 302021, Rajasthan, India","Kumar Agro Products Pvt. Ltd. is a diversified agribusiness enterprise engaged in the processing, manufacturing, and marketing of high-quality agricultural and food products. Established with a vision to enhance value across the agri-supply chain, the company operates in the segments of edible oils, oilseeds, grains, and agro commodities.
With modern infrastructure, advanced refining and packaging facilities, and strong supplier networks, Kumar Agro Products ensures that every product meets the highest standards of purity, freshness, and nutritional value. Our product range includes refined sunflower oil, groundnut oil, palmolein oil, and other edible oils, catering to both domestic and international markets.",,Lalit Kumar,71,Exporter,3,"2025-10-17 08:26:43.675486","2025-10-17 08:34:11.845691"
14,Synova Laser Technologies India Private Limited,"Ground Floor, Plot No.164, Pramukh Darshan Apartment, Katargam Vasta Devdi Road, Opp Community Hall,, Surat - 395004, Gujarat, India","SYNOVA S.A., headquartered in Duillier, Switzerland, manufactures advanced laser cutting systems using its proprietary water jet guided laser (Laser MicroJet®) technology on industrial CNC platforms. Founded in 1997 by Bernold Richerzhagen, the innovation originated at EPFL Lausanne in the 1990s. The Laser MicroJet resolved major issues in traditional cutting and is now used across industries, including semiconductors, diamonds, and metals. With subsidiaries in the USA, Japan, India, Korea, Germany, and China, Synova employs 140 staff, including 30 engineers. The company partners with global leaders like Makino and institutions such as Fraunhofer ILT and Carl Zeiss Jena to advance precision machining and expand applications worldwide.",,Sandeep Kumar,14,Manufacturing,4,"2025-07-17 05:54:33.267217","2025-10-16 12:10:55.502152"
55,Avon Polymers,"","Founded in 1983, Avon Polymers is a leading manufacturer and supplier of high-quality Sanitary Connection Pipes, PVC Braided Hoses, PVC Tubes, Garden Pipes, Flexible Sleeves, Profiles, Zebra Pipes, and Medical Pipes. Produced at our advanced facility using premium materials and modern technology, our products are known for durability, efficiency, reliability, and corrosion resistance. Available in various sizes and custom options, they serve diverse industrial applications. Backed by a skilled workforce and a strong quality management system, we ensure flawless, long-lasting products. Under the leadership of Mr. Pradeep Katyal, our firm continues to grow by maintaining innovation, teamwork, and customer satisfaction, earning a trusted reputation across India for excellence and consistency.",,Sanjay Singh,55,Manufacturing,4,"2025-10-16 18:56:29.349755","2025-10-16 19:23:27.344744"
57,Neon Cables Pvt. Ltd.,"","Established in 2013 in Rajkot, Gujarat, Neon Cables Pvt. Ltd. is a leading Manufacturer, Trader, and Exporter of high-quality PVC Insulated Wires and Cables, Submersible Cables, Flexible and Armoured Cables, Copper and Aluminum Cables, and more. Manufactured using premium raw materials and advanced technology, our products meet international quality standards and are valued for durability, strength, low maintenance, and reliability. Backed by a modern infrastructure with dedicated units for manufacturing, quality control, R&D, and packaging, we ensure efficient production and timely delivery. Guided by Mr. Hitesh Patel (Director), our skilled team works with precision and commitment to meet diverse client requirements, enabling us to achieve a strong reputation for quality and excellence in both domestic and global markets.",,Rahul Chatterjee,57,Manufacturing,4,"2025-10-16 19:02:44.784475","2025-10-17 03:57:06.160706"
58,Labh Projects Private Limited,"","Labh Group is a global engineering, technology, and consulting conglomerate with over 30 years of experience and presence in 100+ countries. We provide turnkey solutions, Industry 4.0 innovations, digital transformation, and technical and management consultancy across industries such as food processing, agriculture, plastics, chemicals, metals, healthcare, and packaging. Guided by the purpose “Empowering business for a better world,” we help clients grow through advanced engineering, innovation, and sustainable practices. Backed by strong technological expertise, global capabilities, and a process-driven approach, we deliver impactful, cost-effective solutions that transform industries and economies worldwide. Living by our core values—Excellence, Respect, Care, and Joy—we continue to empower businesses and communities through innovation and collaboration.",,Karan Bose,58,Manufacturing,4,"2025-10-16 19:05:47.899610","2025-10-17 04:08:26.682601"
59,Vishnu Sai Overseas,"","Established in the Year 2022 at Bengaluru (Karnataka), We,“Vishnu Sai Overseas” Are One of the Leading Manufacturer and Trader of a Premium Range of Mixing Machine, Dhoopbatti Making Machine & Agarbatti Making Machines. With the Support and Guidance of Our Mentor Mr. P Satheesh Kumar, We Have Created a Niche for Ourselves in the Market and Successfully Established Beneficial Business Ties With the Most Reputed Vendors and Clients in the Industry.",,Aditya Kumar,59,Manufacturing,4,"2025-10-17 03:38:42.045577","2025-10-17 05:27:35.779180"
64,Patil Scientific,"First Floor, 55/2, Adithya Nagar, Bengaluru -560097, Karnataka, India","Patil Scientific is a leading provider of scientific instruments, laboratory equipment, and technical solutions designed to support research, innovation, and industrial development. We are committed to delivering high-quality products and reliable services that empower scientists, engineers, and organizations to achieve excellence in their work.",,Jayant Patil,64,Manufacturing,4,"2025-10-17 06:47:44.739820","2025-10-17 07:26:18.108443"
65,Lean Drive soloution,"","Lean Drive Solution – Company Description

Lean Drive Solution is a forward-thinking technology and process optimization company committed to helping businesses enhance efficiency, reduce operational costs, and drive sustainable growth. By integrating lean management principles with advanced digital tools, Lean Drive Solution delivers customized solutions that streamline workflows, eliminate waste, and maximize productivity across various industries.

Our core expertise lies in business process improvement, software-driven automation, data analytics, and performance optimization. We partner with clients to transform their operations through smart methodologies, measurable outcomes, and continuous improvement practices.",Manager,Akash gupta,65,Manufacturing,4,"2025-10-17 06:59:27.814962","2025-10-17 07:24:05.779591"
66,Axton auto works,"","Axton Auto Works – Company Description

Axton Auto Works is a trusted name in automotive care and innovation, dedicated to delivering high-quality vehicle maintenance, repair, and customization services. With a focus on precision engineering and customer satisfaction, Axton Auto Works combines advanced technology with expert craftsmanship to keep vehicles performing at their best.

Our services include mechanical repairs, engine diagnostics, bodywork, painting, detailing, and performance upgrades, catering to both individual customers and corporate fleets. We take pride in using genuine parts, modern diagnostic tools, and industry-best practices to ensure safety, reliability, and superior performance.",,Anju yadav,66,Manufacturing,4,"2025-10-17 07:03:31.491606","2025-10-17 07:24:53.055224"
68,Kene Fianance,"830, Station Rd Nashik","Kene Finance is a forward-thinking fintech company focused on transforming the way people and businesses manage money. With a strong emphasis on transparency, trust, and technology, Kene Finance offers seamless digital payment solutions, efficient lending services, and smart financial tools designed to empower users and drive financial inclusion.
Our mission is to make finance simpler, smarter, and more accessible to everyone.",,Arjun Kene,68,Manufacturing,4,"2025-10-17 07:17:52.162700","2025-10-17 07:25:22.238534"
70,Maruti Auto,"2nd Floor,F-2, plot no 12, D-Block, Tagor Nagar, Nr-200 FT, Jaipur - 302021, Rajasthan, India","Maruti Auto is a leading automotive manufacturer dedicated to designing, developing, and delivering innovative, reliable, and efficient vehicles that redefine modern mobility. The company operates across the entire automotive value chain — from research and development to manufacturing, marketing, and after-sales service — offering customers a comprehensive driving experience backed by quality and trust.
With advanced production facilities, cutting-edge technology, and a highly skilled engineering team, [Auto Company Name] produces a wide range of vehicles, including compact cars, sedans, SUVs, and commercial vehicles. Every product is crafted to meet global standards of safety, performance, and sustainability.
The company emphasizes continuous innovation, environmental responsibility, and customer satisfaction. Through the adoption of eco-friendly technologies, electric mobility solutions, and smart manufacturing systems, [Auto Company Name] is shaping the future of transporta",,Vikram Patel,70,Manufacturing,4,"2025-10-17 08:21:10.708657","2025-10-17 08:33:25.085043"
